id,sentence,class,label
1,"Hey, Show me the way to the spacious living room area if you can.",living_room,direct
2,"Basically, I want to go to the living room before it gets too late.",living_room,direct
3,"I guess Take me to the place where the family gathers like, right now.",living_room,ambiguous
4,"As planned, Let's find a spot in the cozy relaxation spot because I feel like it.",living_room,ambiguous
5,"Well, I want to go to the living room zone before it gets too late.",living_room,direct
6,"If you don't mind, I feel like hanging out in the central lounge area right away.",living_room,ambiguous
7,"Lately, I'm just going to walk into the living room for real.",living_room,direct
8,"Actually, Can you take me to the spacious living room area? to clear my head.",living_room,direct
9,"For some reason, I'll be relaxing near the sofa cushion.",living_room,indirect
10,"After a long day, I'm going to lie down by the large rug on the floor right away.",living_room,indirect
11,"Without a doubt, Let's head over to our main living room to feel better.",living_room,direct
12,"If possible, I feel like hanging out in the place where the family gathers because I feel like it.",living_room,ambiguous
13,"If possible, Let's gather in the central living room since I have nothing else to do.",living_room,direct
14,"Honestly, We need to move the surround speakers before going out.",living_room,indirect
15,"This weekend, I need to clear my mind in the place where the large sofa is before it gets too late.",living_room,ambiguous
16,"Right now, I want to sit on the soft carpet to feel better.",living_room,indirect
17,"Unbelievably, I want to go to the central living room since I have nothing else to do.",living_room,direct
18,"This weekend, I need to step into the family living room before it gets too late.",living_room,direct
19,"Well, I'm just going to walk into the family living room since I have nothing else to do.",living_room,direct
20,"Actually, I'm going to lie down by the warm fireplace because I feel like it.",living_room,indirect
21,"Actually, I'm just going to walk into the spacious living room area to spend some time.",living_room,direct
22,"Unbelievably, I feel like hanging out in the cozy relaxation spot for a change.",living_room,ambiguous
23,"This weekend, I'm going to spend time near the surround speakers to feel better.",living_room,indirect
24,"Since I'm bored, I'm just going to walk into the spacious living room area to feel better.",living_room,direct
25,"Unbelievably, Let's take a rest in the place where the family gathers before going out.",living_room,ambiguous
26,"If you don't mind, I'll be waiting in the central lounge area before going out.",living_room,ambiguous
27,Can you adjust the smart TV? immediately.,living_room,indirect
28,"Since I'm bored, Let's check out the surround speakers for real.",living_room,indirect
29,"As planned, I'm going to spend time near the comfortable couch because I feel like it.",living_room,indirect
