id,sentence,class,label
1,"Right now, I'm just staring at the comfortable couch as soon as possible.",living_room,indirect
2,"Suddenly, Is it okay to go to the central living room? immediately.",living_room,direct
3,"As planned, Let's find a spot in the place where the family gathers like, right now.",living_room,ambiguous
4,"Tonight, Let's take a rest in the place where the family gathers if you can.",living_room,ambiguous
5,"Unbelievably, Let's clean up the smart TV right away.",living_room,indirect
6,Let's gather in the cozy living room if you can.,living_room,direct
7,"Basically, I need to step into the living room before going out.",living_room,direct
8,"Honestly, I want to spend my afternoon in where we usually watch shows together right away.",living_room,ambiguous
9,I guess I am heading towards the spacious living room area to spend some time.,living_room,direct
10,"This weekend, I'll be relaxing near the side table since I have nothing else to do.",living_room,indirect
11,"If possible, I am sitting right next to the smart TV for real.",living_room,indirect
12,"Since I'm tired, Can you take me to our main living room? right away.",living_room,direct
13,Can you turn on the sofa cushion? right away.,living_room,indirect
14,"Since I'm bored, I think I will stay in the cozy living room to spend some time.",living_room,direct
15,"Hey, Can you take me to the family living room?",living_room,direct
16,"Lately, Let's gather in the cozy living room immediately.",living_room,direct
17,"For some reason, Let's find a spot in the place where the large sofa is because I feel like it.",living_room,ambiguous
18,"Honestly, I need to clear my mind in the cozy relaxation spot as soon as possible.",living_room,ambiguous
19,"Actually, Let's clean up the surround speakers before it gets too late.",living_room,indirect
20,Maybe Let's move to the living room since I have nothing else to do.,living_room,direct
21,"Since I'm tired, I need to step into the central living room immediately.",living_room,direct
22,"Hey, Can you turn on the TV remote control? to feel better.",living_room,indirect
23,"Lately, I feel like hanging out in the room with the best view of the outside.",living_room,ambiguous
24,"Suddenly, I'm going to lie down by the photo frames if you can.",living_room,indirect
25,I'm just staring at the large rug on the floor to clear my head.,living_room,indirect
26,"For some reason, I feel like hanging out in the place where the large sofa is like, right now.",living_room,ambiguous
27,"Look, Show me the way to the spacious living room area since I have nothing else to do.",living_room,direct
28,I guess I'm just going to walk into the central living room for a change.,living_room,direct
29,"If possible, I want to spend my afternoon in the main room with the big windows before it gets too late.",living_room,ambiguous
30,I think Could you guide me to the living room zone? since I have nothing else to do.,living_room,direct
31,"Lately, Let's take a rest in the most spacious area of the house immediately.",living_room,ambiguous
32,I want to spend my afternoon in the main room with the big windows because I feel like it.,living_room,ambiguous
33,"Unbelievably, Can you direct me to the room with the best view of the outside? to spend some time.",living_room,ambiguous
34,"This weekend, I think I will stay in the spacious living room area for a change.",living_room,direct
35,"Since I'm tired, I am drawn to the place where the family gathers like, right now.",living_room,ambiguous
36,"Lately, Let's check out the warm fireplace to clear my head.",living_room,indirect
37,"By the way, Let's gather in the spacious living room area since I have nothing else to do.",living_room,direct
38,"This weekend, Let's find a spot in the cozy relaxation spot for real.",living_room,ambiguous
39,"This weekend, I want to sit on the photo frames immediately.",living_room,indirect
40,"Tonight, Let's find a spot in the place where the family gathers for a change.",living_room,ambiguous
41,"Right now, I am heading towards the living room zone before going out.",living_room,direct
42,"Since I'm bored, Can you take me to our main living room? because I feel like it.",living_room,direct
43,"By the way, Let's clean up the side table before going out.",living_room,indirect
44,"Lately, Can you direct me to the place where the large sofa is? since I have nothing else to do.",living_room,ambiguous
45,"As planned, I love the look of the sofa cushion since I have nothing else to do.",living_room,indirect
46,"Look, I'll be waiting in the cozy relaxation spot for a change.",living_room,ambiguous
47,I think I'll be relaxing near the paintings hanging on the wall.,living_room,indirect
48,"If you don't mind, I'll be relaxing near the soft carpet to clear my head.",living_room,indirect
49,"Honestly, I'm just going to walk into the living room zone immediately.",living_room,direct
50,"Right now, Take me to the central lounge area before it gets too late.",living_room,ambiguous
51,"Suddenly, Let's head over to the cozy living room since I have nothing else to do.",living_room,direct
52,I need to step into the family living room before it gets too late.,living_room,direct
53,"Just so you know, I'll be waiting in the most spacious area of the house for a change.",living_room,ambiguous
54,"Actually, I feel like hanging out in the cozy relaxation spot as soon as possible.",living_room,ambiguous
