id,sentence,class,label
1,"Suddenly, I am heading towards our main living room because that's what I need.",living_room,direct
2,"Well, Let's find a spot in the main room with the big windows for real.",living_room,ambiguous
3,"By the way, Can you adjust the soft carpet? for a moment.",living_room,indirect
4,"This weekend, Take me to the most spacious area of the house immediately.",living_room,ambiguous
5,"Lately, I am sitting right next to the surround speakers because that's what I need.",living_room,indirect
6,"By the way, I am drawn to the cozy relaxation spot for a change.",living_room,ambiguous
7,"Hey, I want to go to the spacious living room area for a change.",living_room,direct
8,"Lately, I want to spend my afternoon in the main room with the big windows like, right now.",living_room,ambiguous
9,"Basically, I want to spend my afternoon in the most spacious area of the house before going out.",living_room,ambiguous
10,"Lately, I'm going to lie down by the luxurious chandelier because that's what I need.",living_room,indirect
11,"Basically, I need to clear my mind in the main room with the big windows right away.",living_room,ambiguous
12,"If possible, I'll be relaxing near the surround speakers before it gets too late.",living_room,indirect
13,"If you don't mind, I want to sit on the smart TV because I feel like it.",living_room,indirect
14,"Actually, I need to step into the spacious living room area since I have nothing else to do.",living_room,direct
15,"For some reason, I want to sit on the smart TV for real.",living_room,indirect
16,"Since I'm bored, Let's find a spot in the cozy relaxation spot for a moment.",living_room,ambiguous
17,"Actually, I am sitting right next to the side table to feel better.",living_room,indirect
18,"Just so you know, Take me to the central lounge area right away.",living_room,ambiguous
19,"Basically, Let's move to the cozy living room since I have nothing else to do.",living_room,direct
20,"Basically, I want to go to the cozy living room to clear my head.",living_room,direct
21,"As planned, I'm just going to walk into the living room if you can.",living_room,direct
22,"First of all, Let's take a rest in the central lounge area because that's what I need.",living_room,ambiguous
23,"Suddenly, Can you turn on the soft carpet? without waiting.",living_room,indirect
24,"I think We need to move the soft carpet like, right now.",living_room,indirect
25,"Tonight, I'll be waiting in the room with the best view of the outside because I feel like it.",living_room,ambiguous
26,"Surprisingly, I feel like hanging out in the place where the family gathers without waiting.",living_room,ambiguous
27,"Since I'm tired, Let's gather in the living room zone before it gets too late.",living_room,direct
28,"First of all, I want to go to the spacious living room area to spend some time.",living_room,direct
29,"Actually, Let's head over to our main living room.",living_room,direct
30,"Since I'm bored, I'm just going to walk into the living room zone like, right now.",living_room,direct
31,"Hey, Let's gather in the family living room to feel better.",living_room,direct
32,"Since I'm tired, I'm going to spend time near the side table before it gets too late.",living_room,indirect
33,"Just so you know, Can you turn on the coffee table? for real.",living_room,indirect
34,"After a long day, I'm going to lie down by the smart TV because I feel like it.",living_room,indirect
35,"Just so you know, I am sitting right next to the warm fireplace like, right now.",living_room,indirect
36,"As planned, I want to spend my afternoon in the place where the large sofa is without waiting.",living_room,ambiguous
37,"Hey, I want to sit on the soft carpet to spend some time.",living_room,indirect
38,"Just so you know, Let's find a spot in the place where the large sofa is because that's what I need.",living_room,ambiguous
39,"After a long day, I'm just staring at the sofa cushion to clear my head.",living_room,indirect
40,"Actually, Let's gather in the cozy living room immediately.",living_room,direct
41,"If possible, I want to sit on the large rug on the floor to spend some time.",living_room,indirect
42,Maybe Can you turn on the armchair? immediately.,living_room,indirect
43,I am heading towards the living room zone before going out.,living_room,direct
44,"As planned, I want to sit on the large rug on the floor to spend some time.",living_room,indirect
45,"Suddenly, Let's check out the large rug on the floor for a change.",living_room,indirect
46,Maybe I am sitting right next to the TV remote control for real.,living_room,indirect
47,"By the way, I want to spend my afternoon in the central lounge area since I have nothing else to do.",living_room,ambiguous
48,"First of all, I am sitting right next to the smart TV right away.",living_room,indirect
49,"Actually, I'm just staring at the smart TV to feel better.",living_room,indirect
50,"As planned, I'll be relaxing near the smart TV to clear my head.",living_room,indirect
51,"This weekend, Could you guide me to the central living room? for real.",living_room,direct
52,"This weekend, Can you direct me to the central lounge area? because I feel like it.",living_room,ambiguous
53,"Honestly, Let's gather in the family living room like, right now.",living_room,direct
54,"Lately, Can you turn on the paintings hanging on the wall? since I have nothing else to do.",living_room,indirect
55,"After a long day, I love the look of the large rug on the floor as soon as possible.",living_room,indirect
56,"As planned, We need to move the soft carpet if you can.",living_room,indirect
57,"Since I'm bored, I'm going to lie down by the sofa cushion since I have nothing else to do.",living_room,indirect
58,"Lately, I'm just going to walk into our main living room without waiting.",living_room,direct
59,"Suddenly, I'm going to lie down by the luxurious chandelier because I feel like it.",living_room,indirect
60,"Tonight, Let's find a spot in the place where the large sofa is to feel better.",living_room,ambiguous
61,"Surprisingly, I want to spend my afternoon in where we usually watch shows together like, right now.",living_room,ambiguous
62,"First of all, I'll be waiting in the room with the best view of the outside before going out.",living_room,ambiguous
63,"Right now, I want to spend my afternoon in the central lounge area right away.",living_room,ambiguous
64,"For some reason, Is it okay to go to the family living room? before going out.",living_room,direct
65,"Since I'm tired, Let's gather in the spacious living room area like, right now.",living_room,direct
66,"For some reason, Is it okay to go to our main living room? for a moment.",living_room,direct
67,"If possible, I'm going to spend time near the sofa cushion for a moment.",living_room,indirect
68,"Since I'm tired, Let's take a rest in the place where the large sofa is like, right now.",living_room,ambiguous
69,"After a long day, I'm going to lie down by the luxurious chandelier before going out.",living_room,indirect
70,"Since I'm bored, Let's gather in the central living room to clear my head.",living_room,direct
71,"Just so you know, Can you direct me to the most spacious area of the house? for a moment.",living_room,ambiguous
72,"Since I'm bored, We need to move the armchair because I feel like it.",living_room,indirect
73,"If you don't mind, I'm going to spend time near the TV remote control right away.",living_room,indirect
74,Maybe I'll be relaxing near the large rug on the floor if you can.,living_room,indirect
75,"As planned, Can you adjust the comfortable couch? right away.",living_room,indirect
76,I think I need to clear my mind in the place where the large sofa is.,living_room,ambiguous
77,"Look, Let's take a rest in the place where the large sofa is without waiting.",living_room,ambiguous
78,"First of all, I'm just staring at the soft carpet without waiting.",living_room,indirect
79,"Surprisingly, Can you direct me to where we usually watch shows together? for real.",living_room,ambiguous
80,"If you don't mind, I need to clear my mind in the place where the family gathers before going out.",living_room,ambiguous
81,"Without a doubt, I am drawn to the main room with the big windows for a moment.",living_room,ambiguous
82,"As planned, I love the look of the side table to spend some time.",living_room,indirect
83,I think I think I will stay in the cozy living room because that's what I need.,living_room,direct
84,"After a long day, I feel like hanging out in the room with the best view of the outside right away.",living_room,ambiguous
85,I guess Can you turn on the photo frames? to feel better.,living_room,indirect
86,"Look, I want to sit on the luxurious chandelier as soon as possible.",living_room,indirect
87,"Lately, I need to clear my mind in the room with the best view of the outside because that's what I need.",living_room,ambiguous
88,"Since I'm tired, I think I will stay in the cozy living room since I have nothing else to do.",living_room,direct
89,I think I want to sit on the surround speakers if you can.,living_room,indirect
90,Let's head over to the spacious living room area to clear my head.,living_room,direct
91,"For some reason, Could you guide me to the living room zone? because I feel like it.",living_room,direct
92,"Tonight, Let's head over to the central living room for a moment.",living_room,direct
93,I think I need to step into the spacious living room area as soon as possible.,living_room,direct
94,"For some reason, I'm going to lie down by the large rug on the floor to feel better.",living_room,indirect
95,"Right now, I am sitting right next to the side table since I have nothing else to do.",living_room,indirect
96,"Without a doubt, Take me to the room with the best view of the outside to clear my head.",living_room,ambiguous
97,"If you don't mind, I am drawn to where we usually watch shows together if you can.",living_room,ambiguous
98,"Tonight, Let's gather in the cozy living room to clear my head.",living_room,direct
99,"Honestly, I am drawn to the most spacious area of the house before it gets too late.",living_room,ambiguous
100,"Suddenly, Is it okay to go to our main living room?",living_room,direct
101,"Well, Let's head over to the living room before going out.",living_room,direct
102,I need to step into the living room zone immediately.,living_room,direct
103,"Since I'm bored, I want to go to our main living room because that's what I need.",living_room,direct
104,Maybe I'll be relaxing near the smart TV to clear my head.,living_room,indirect
105,"Well, We need to move the surround speakers without waiting.",living_room,indirect
106,"Unbelievably, I'm just staring at the armchair immediately.",living_room,indirect
107,"Surprisingly, Let's find a spot in the place where the family gathers to spend some time.",living_room,ambiguous
108,"After a long day, Is it okay to go to the living room? immediately.",living_room,direct
109,"Look, Is it okay to go to the living room?",living_room,direct
110,"Since I'm tired, Let's head over to the living room zone right away.",living_room,direct
111,"Honestly, Let's find a spot in the central lounge area right away.",living_room,ambiguous
112,I feel like hanging out in where we usually watch shows together without waiting.,living_room,ambiguous
113,"Honestly, Take me to the room with the best view of the outside without waiting.",living_room,ambiguous
114,"If you don't mind, I love the look of the photo frames.",living_room,indirect
115,"Surprisingly, I want to spend my afternoon in the place where the large sofa is right away.",living_room,ambiguous
116,"For some reason, I'm going to spend time near the TV remote control if you can.",living_room,indirect
117,Can you adjust the coffee table? to spend some time.,living_room,indirect
118,"Basically, I am drawn to the central lounge area before it gets too late.",living_room,ambiguous
119,"Since I'm bored, Let's check out the TV remote control.",living_room,indirect
120,Can you take me to our main living room? before going out.,living_room,direct
121,"Tonight, I'm just staring at the large rug on the floor to clear my head.",living_room,indirect
122,"Unbelievably, I'll be waiting in the most spacious area of the house for a moment.",living_room,ambiguous
123,I guess Can you take me to the spacious living room area? to spend some time.,living_room,direct
124,"Basically, I want to go to the central living room as soon as possible.",living_room,direct
125,"Just so you know, I'll be relaxing near the coffee table if you can.",living_room,indirect
126,"Since I'm bored, I am drawn to the cozy relaxation spot to clear my head.",living_room,ambiguous
127,"Right now, I love the look of the comfortable couch immediately.",living_room,indirect
128,"I think I'm going to lie down by the coffee table like, right now.",living_room,indirect
129,"Tonight, I feel like hanging out in the most spacious area of the house before going out.",living_room,ambiguous
130,"Just so you know, Let's clean up the side table like, right now.",living_room,indirect
131,"Right now, Show me the way to our main living room before going out.",living_room,direct
132,"First of all, We need to move the TV remote control without waiting.",living_room,indirect
133,"Just so you know, Let's gather in the cozy living room to feel better.",living_room,direct
134,"Since I'm tired, I feel like hanging out in the main room with the big windows for a change.",living_room,ambiguous
135,"Tonight, Let's gather in the family living room since I have nothing else to do.",living_room,direct
136,"Without a doubt, Can you adjust the photo frames? since I have nothing else to do.",living_room,indirect
137,"First of all, I'm just going to walk into the central living room for a change.",living_room,direct
138,I think I want to go to our main living room for a change.,living_room,direct
139,"First of all, I want to spend my afternoon in the main room with the big windows if you can.",living_room,ambiguous
140,"If possible, Can you direct me to the central lounge area? to clear my head.",living_room,ambiguous
141,"Honestly, I feel like hanging out in the central lounge area because that's what I need.",living_room,ambiguous
142,I think Can you adjust the surround speakers? to clear my head.,living_room,indirect
143,"If possible, Let's gather in our main living room because I feel like it.",living_room,direct
144,"For some reason, I'll be relaxing near the armchair because that's what I need.",living_room,indirect
145,I'll be relaxing near the side table for real.,living_room,indirect
146,"Without a doubt, I'm going to spend time near the photo frames because that's what I need.",living_room,indirect
147,"If possible, I need to clear my mind in the room with the best view of the outside to spend some time.",living_room,ambiguous
148,"Right now, I need to clear my mind in the room with the best view of the outside for a change.",living_room,ambiguous
149,"Unbelievably, I think I will stay in our main living room to clear my head.",living_room,direct
150,I guess I'll be relaxing near the comfortable couch to spend some time.,living_room,indirect
151,"Lately, I'm just staring at the large rug on the floor to clear my head.",living_room,indirect
152,"As planned, Let's head over to our main living room because I feel like it.",living_room,direct
153,"Basically, I want to sit on the TV remote control since I have nothing else to do.",living_room,indirect
154,"Lately, Let's clean up the warm fireplace if you can.",living_room,indirect
155,"First of all, I want to go to the living room because I feel like it.",living_room,direct
156,"Actually, Can you turn on the photo frames? right away.",living_room,indirect
157,"Tonight, Can you turn on the paintings hanging on the wall? to feel better.",living_room,indirect
158,Maybe I am drawn to the place where the large sofa is to spend some time.,living_room,ambiguous
159,"Surprisingly, I'll be waiting in where we usually watch shows together for a change.",living_room,ambiguous
160,"Surprisingly, Let's clean up the smart TV before it gets too late.",living_room,indirect
161,"For some reason, Take me to the room with the best view of the outside.",living_room,ambiguous
162,"Just so you know, I am drawn to the central lounge area since I have nothing else to do.",living_room,ambiguous
163,I think I need to step into the living room zone as soon as possible.,living_room,direct
164,"If possible, I want to sit on the soft carpet before it gets too late.",living_room,indirect
165,"For some reason, I am drawn to the central lounge area if you can.",living_room,ambiguous
166,"Well, Can you turn on the armchair? because that's what I need.",living_room,indirect
167,"Suddenly, I need to clear my mind in the main room with the big windows to feel better.",living_room,ambiguous
168,"Tonight, We need to move the coffee table to clear my head.",living_room,indirect
169,"Hey, I'll be waiting in the central lounge area because I feel like it.",living_room,ambiguous
170,"Tonight, Can you adjust the sofa cushion? for a change.",living_room,indirect
171,"First of all, I'm going to lie down by the sofa cushion because that's what I need.",living_room,indirect
172,"Honestly, I'm just going to walk into the spacious living room area right away.",living_room,direct
173,"For some reason, I am drawn to the cozy relaxation spot because that's what I need.",living_room,ambiguous
174,"Look, I want to sit on the soft carpet without waiting.",living_room,indirect
175,"Unbelievably, I'm just going to walk into the cozy living room to clear my head.",living_room,direct
